year,unitid,instnm,lstudy,gender,n_enrl
2019,174066,University of Minnesota-Twin Cities,Graduate,Men,7246
2019,174066,University of Minnesota-Twin Cities,Graduate,Women,8916
2020,174066,University of Minnesota-Twin Cities,All students,Total,52017
2020,174066,University of Minnesota-Twin Cities,All students,Men,23600
2020,174066,University of Minnesota-Twin Cities,All students,Women,28417
2020,174066,University of Minnesota-Twin Cities,Undergraduate,Total,36061
2020,174066,University of Minnesota-Twin Cities,Undergraduate,Men,16594
2020,174066,University of Minnesota-Twin Cities,Undergraduate,Women,19467
2020,174066,University of Minnesota-Twin Cities,Graduate,Total,15956
2020,174066,University of Minnesota-Twin Cities,Graduate,Men,7006
2020,174066,University of Minnesota-Twin Cities,Graduate,Women,8950
2017,199120,University of North Carolina at Chapel Hill,All students,Total,29911
2017,199120,University of North Carolina at Chapel Hill,All students,Men,12737
2017,199120,University of North Carolina at Chapel Hill,All students,Women,17174
2017,199120,University of North Carolina at Chapel Hill,Undergraduate,Total,18862
2017,199120,University of North Carolina at Chapel Hill,Undergraduate,Men,7764
2017,199120,University of North Carolina at Chapel Hill,Undergraduate,Women,11098
2017,199120,University of North Carolina at Chapel Hill,Graduate,Total,11049
2017,199120,University of North Carolina at Chapel Hill,Graduate,Men,4973
2017,199120,University of North Carolina at Chapel Hill,Graduate,Women,6076
2018,199120,University of North Carolina at Chapel Hill,All students,Total,30011
2018,199120,University of North Carolina at Chapel Hill,All students,Men,12563
2018,199120,University of North Carolina at Chapel Hill,All students,Women,17448
2018,199120,University of North Carolina at Chapel Hill,Undergraduate,Total,19117
2018,199120,University of North Carolina at Chapel Hill,Undergraduate,Men,7766
2018,199120,University of North Carolina at Chapel Hill,Undergraduate,Women,11351
2018,199120,University of North Carolina at Chapel Hill,Graduate,Total,10894
2018,199120,University of North Carolina at Chapel Hill,Graduate,Men,4797
2018,199120,University of North Carolina at Chapel Hill,Graduate,Women,6097
2019,199120,University of North Carolina at Chapel Hill,All students,Total,29877
2019,199120,University of North Carolina at Chapel Hill,All students,Men,12380
2019,199120,University of North Carolina at Chapel Hill,All students,Women,17497
2019,199120,University of North Carolina at Chapel Hill,Undergraduate,Total,19154
2019,199120,University of North Carolina at Chapel Hill,Undergraduate,Men,7752
2019,199120,University of North Carolina at Chapel Hill,Undergraduate,Women,11402
2019,199120,University of North Carolina at Chapel Hill,Graduate,Total,10723
2019,199120,University of North Carolina at Chapel Hill,Graduate,Men,4628
2019,199120,University of North Carolina at Chapel Hill,Graduate,Women,6095
2020,199120,University of North Carolina at Chapel Hill,All students,Total,30092
2020,199120,University of North Carolina at Chapel Hill,All students,Men,12339
2020,199120,University of North Carolina at Chapel Hill,All students,Women,17753
